,Image,F1,Jaccard,Recall,Precision,Accuracy
293,archive\images\1118.png,0.9240121580547112,0.8587570621468926,0.9891540130151844,0.8669201520912547,0.9988555908203125
294,archive\images\1185.png,0.9844755774327907,0.9694258016405667,0.9796533534287868,0.989345509893455,0.9993743896484375
295,archive\images\1726.png,0.9075210179504658,0.8306988352745425,0.9980009995002499,0.8320833333333333,0.9937896728515625
296,archive\images\880.png,0.8611825192802057,0.7562076749435666,0.9517045454545454,0.7863849765258216,0.99835205078125
297,archive\images\2951.png,0.9652807543934848,0.9328914664457332,0.9778549717759444,0.9530258146424038,0.997528076171875
298,archive\images\2269.png,0.4120171673819742,0.2594594594594595,0.4413793103448276,0.386317907444668,0.99163818359375
299,archive\images\1555.png,0.8886679920477137,0.7996422182468694,1.0,0.7996422182468694,0.998291015625
300,archive\images\2968.png,0.9213174748398902,0.8541136556403732,0.9358736059479554,0.9072072072072072,0.99737548828125
301,archive\images\948.png,0.8633484162895927,0.7595541401273885,0.7668810289389068,0.9875776397515528,0.9976959228515625
302,archive\images\262.png,0.932900432900433,0.8742393509127789,0.9762174405436014,0.8932642487046633,0.99810791015625
303,archive\images\2090.png,0.8675055514433752,0.7660130718954249,0.8584822736595371,0.87672052663076,0.9863433837890625
304,archive\images\2285.png,0.3845419847328244,0.23803898405197874,0.2553865652724968,0.777992277992278,0.980316162109375
305,archive\images\1262.png,0.8610729023383769,0.7560386473429952,1.0,0.7560386473429952,0.9984588623046875
306,archive\images\2098.png,0.0,0.0,0.0,0.0,0.9864501953125
307,archive\images\1662.png,0.884012539184953,0.7921348314606742,0.9929577464788732,0.7966101694915254,0.9994354248046875
308,archive\images\1739.png,0.9329153605015675,0.8742655699177438,0.9933244325767691,0.8794326241134752,0.9983673095703125
309,archive\images\557.png,0.6956977964323191,0.5333869670152857,0.5520399666944213,0.9404255319148936,0.99114990234375
310,archive\images\2718.png,0.9130808950086059,0.8400633412509897,0.8556451612903225,0.9787822878228782,0.996917724609375
311,archive\images\2172.png,0.0,0.0,0.0,0.0,0.9840850830078125
312,archive\images\2729.png,0.9467281879194631,0.8988450816407806,0.8988450816407806,1.0,0.996124267578125
313,archive\images\361.png,0.9325287986834887,0.8735868448098664,0.8817427385892116,0.989522700814901,0.9981231689453125
314,archive\images\2647.png,0.0,0.0,0.0,0.0,0.994140625
315,archive\images\2489.png,0.9249743062692702,0.8604206500956023,0.8704061895551257,0.9868421052631579,0.993316650390625
316,archive\images\822.png,0.9198184568835098,0.8515406162464986,0.8685714285714285,0.977491961414791,0.9991912841796875
317,archive\images\2305.png,0.8606831882116543,0.7554379776601999,0.7554379776601999,1.0,0.99365234375
318,archive\images\2655.png,0.6712530712530712,0.5051775147928994,0.5051775147928994,1.0,0.9897918701171875
